Feature,Importance
reading score,0.5625648419658394
writing score,0.23473959307967274
gender_male,0.1207801497673568
lunch_standard,0.015490067217959933
test preparation course_none,0.01125546714100465
race/ethnicity_group E,0.011117221205739262
parental level of education_some college,0.008141535713969776
race/ethnicity_group C,0.0068330675768459815
race/ethnicity_group D,0.006085041364682472
parental level of education_high school,0.006068103195829126
race/ethnicity_group B,0.005132488724340956
parental level of education_some high school,0.005018244760331537
parental level of education_bachelor's degree,0.0047565030863263545
parental level of education_master's degree,0.0020176752001009276
